Entity,Code,Year,"GDP per capita, PPP (constant 2021 international $)"
South Korea,KOR,2023,50572.25
Spain,ESP,2023,47141.543
Sri Lanka,LKA,2023,13029.524
Sub-Saharan Africa (WB),,2023,4309.3516
Sudan,SDN,2023,2469.1946
Suriname,SUR,2023,19043.705
Sweden,SWE,2023,63114.68
Switzerland,CHE,2023,82557.55
Tajikistan,TJK,2023,4472.324
Tanzania,TZA,2023,3620.7935
Thailand,THA,2023,21142.664
Togo,TGO,2023,2767.5166
Trinidad and Tobago,TTO,2023,31705.834
Tunisia,TUN,2023,12552.986
Turkey,TUR,2023,34609.914
Turkmenistan,TKM,2023,17866.404
Turks and Caicos Islands,TCA,2023,22305.66
Tuvalu,TUV,2023,5812.393
Uganda,UGA,2023,2791.0557
Ukraine,UKR,2023,15885.226
United Arab Emirates,ARE,2023,68577.54
United Kingdom,GBR,2023,54542.016
United States,USA,2023,74577.51
Upper-middle-income countries,,2023,20620.35
Uruguay,URY,2023,31019.31
Uzbekistan,UZB,2023,10007.686
Vanuatu,VUT,2023,3118.396
Vietnam,VNM,2023,13491.88
World,OWID_WRL,2023,20670.941
Zambia,ZMB,2023,3673.4841
Zimbabwe,ZWE,2023,3442.2512
