CountryCode,SeriesCode,DESCRIPTION
"AUS","IT.NET.USER.ZS","Australian Department of Broadband, Communications and the Digital Economy (DBCDE)."
"AUS","SP.DYN.LE00.MA.IN","Data source: Australian Bureau of Statistics"
"AUT","SP.DYN.CDRT.IN","Data source: Eurostat"
"AUT","SP.DYN.AMRT.MA","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org."
"AUT","SP.DYN.CBRT.IN","Data source: Eurostat"
"AUT","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population."
"AUT","SP.DYN.TFRT.IN","Data source: Eurostat, Statistics Austria"
"AUT","SP.POP.TOTL","Data source: Eurostat, Statistics Austria"
"AUT","IT.NET.USER.ZS","Until 2001: Federal Ministry for Science and Transport. Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR-GmbH)."
"AUT","SP.DYN.AMRT.FE","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org."
"AUT","SP.DYN.LE00.IN","Derived using male and female life expectancy"
"AUT","SP.DYN.LE00.FE.IN","Data source: Eurostat, Statistics Austria"
"AUT","SP.DYN.LE00.MA.IN","Data source: Eurostat, Statistics Austria"
"AZE","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"AZE","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"AZE","SP.DYN.CBRT.IN","Data source: State Statistical Committee, United Nations World Population Prospects"
"AZE","SP.POP.TOTL","Data source: Eurostat, State Statistical Committee."
"AZE","IT.NET.USER.ZS","Ministry of Communications and Information Technologies."
"AZE","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects. Including Nagorno-Karabakh."
"AZE","SP.POP.AG02.MA.IN","Including Nagorno-Karabakh."
"AZE","SP.POP.AG02.FE.IN","Including Nagorno-Karabakh."
"AZE","SP.POP.AG01.MA.IN","Including Nagorno-Karabakh."
"AZE","SP.POP.AG01.FE.IN","Including Nagorno-Karabakh."
"AZE","SP.ADO.TFRT","Including Nagorno-Karabakh."
"AZE","SP.POP.AG00.MA.IN","Including Nagorno-Karabakh."
"AZE","SP.POP.AG00.FE.IN","Including Nagorno-Karabakh."
"AZE","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"AZE","SP.POP.AG03.FE.IN","Including Nagorno-Karabakh."
"AZE","SP.POP.BRTH.MF","Including Nagorno-Karabakh."
"AZE","SP.POP.AG03.MA.IN","Including Nagorno-Karabakh."
"AZE","SP.POP.AG05.MA.IN","Including Nagorno-Karabakh."
"AZE","SP.POP.AG04.FE.IN","Including Nagorno-Karabakh."
"AZE","SP.POP.AG05.FE.IN","Including Nagorno-Karabakh."
"AZE","SP.DYN.TFRT.IN","Data source: State Statistical Committee, Eurostat, United Nations World Population Prospects"
"AZE","SP.DYN.TO65.MA.ZS","Including Nagorno-Karabakh."
"AZE","SP.DYN.TO65.FE.ZS","Including Nagorno-Karabakh."
"AZE","SG.POP.MIGR.FE.ZS","Including Nagorno-Karabakh. Estimates were derived from data on the foreign-born population. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates."
"AZE","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects. Including Nagorno-Karabakh."
"AZE","SP.DYN.CDRT.IN","Data source: State Statistical Committee, United Nations World Population Prospects"
"AZE","SP.POP.AG04.MA.IN","Including Nagorno-Karabakh."
"BDI","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"BDI","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"BDI","SP.POP.TOTL","Data source: United Nations World Population Prospects"
